time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
151,2.51500000e+01,-5.09933497e+00,8.743465e-01,2.213018e-01,5.194930e-01,5.928010e-01,,
152,2.51500000e+01,-5.09933807e+00,8.743465e-01,2.212871e-01,5.194777e-01,5.927790e-01,,
153,2.51500000e+01,-5.09933530e+00,8.743465e-01,2.213009e-01,5.194900e-01,5.928020e-01,,
154,2.51500000e+01,-5.09933001e+00,8.743465e-01,2.213230e-01,5.195121e-01,5.928359e-01,,
155,2.51500000e+01,-5.09933526e+00,8.743465e-01,2.213197e-01,5.195086e-01,5.928311e-01,,
156,2.51500000e+01,-5.09933857e+00,8.743465e-01,2.213022e-01,5.194875e-01,5.928085e-01,,
157,2.51500000e+01,-5.09933561e+00,8.743465e-01,2.212964e-01,5.194801e-01,5.928012e-01,,
158,2.51500000e+01,-5.09933007e+00,8.743465e-01,2.213151e-01,5.195020e-01,5.928265e-01,,
159,2.51500000e+01,-5.09932935e+00,8.743465e-01,2.213275e-01,5.195177e-01,5.928416e-01,,
160,2.51500000e+01,-5.09933504e+00,8.743465e-01,2.213135e-01,5.195077e-01,5.928158e-01,,
161,2.51500000e+01,-5.09933962e+00,8.743465e-01,2.212934e-01,5.194838e-01,5.927891e-01,,
162,2.51500000e+01,-5.09933695e+00,8.743465e-01,2.213018e-01,5.194857e-01,5.928094e-01,,
163,2.51500000e+01,-5.09932889e+00,8.743465e-01,2.213302e-01,5.195112e-01,5.928565e-01,,
164,2.51500000e+01,-5.09933221e+00,8.743465e-01,2.213327e-01,5.195189e-01,5.928543e-01,,
165,2.51500000e+01,-5.09933782e+00,8.743465e-01,2.213058e-01,5.194980e-01,5.928059e-01,,
166,2.51500000e+01,-5.09933885e+00,8.743465e-01,2.212928e-01,5.194842e-01,5.927870e-01,,
167,2.51500000e+01,-5.09933632e+00,8.743465e-01,2.213088e-01,5.194994e-01,5.928125e-01,,
168,2.51500000e+01,-5.09933251e+00,8.743465e-01,2.213289e-01,5.195208e-01,5.928420e-01,,
169,2.51500000e+01,-5.09933928e+00,8.743465e-01,2.213283e-01,5.195212e-01,5.928397e-01,,
170,2.51500000e+01,-5.09934109e+00,8.743465e-01,2.213052e-01,5.194922e-01,5.928111e-01,,
171,2.51500000e+01,-5.09933793e+00,8.743465e-01,2.213036e-01,5.194865e-01,5.928133e-01,,
172,2.51500000e+01,-5.09933031e+00,8.743465e-01,2.213221e-01,5.195078e-01,5.928384e-01,,
173,2.51500000e+01,-5.09933218e+00,8.743465e-01,2.213306e-01,5.195224e-01,5.928446e-01,,
174,2.51500000e+01,-5.09933759e+00,8.743465e-01,2.213089e-01,5.195046e-01,5.928068e-01,,
175,2.51500000e+01,-5.09934211e+00,8.743465e-01,2.212929e-01,5.194872e-01,5.927838e-01,,
176,2.51500000e+01,-5.09933900e+00,8.743465e-01,2.213032e-01,5.194928e-01,5.928051e-01,,
177,2.51500000e+01,-5.09933220e+00,8.743465e-01,2.213302e-01,5.195165e-01,5.928502e-01,,
178,2.51500000e+01,-5.09933582e+00,8.743465e-01,2.213308e-01,5.195198e-01,5.928481e-01,,
179,2.51500000e+01,-5.09934064e+00,8.743465e-01,2.213050e-01,5.194978e-01,5.928042e-01,,
180,2.51500000e+01,-5.09934085e+00,8.743465e-01,2.212917e-01,5.194851e-01,5.927829e-01,,
181,2.51500000e+01,-5.09933703e+00,8.743465e-01,2.213085e-01,5.195014e-01,5.928095e-01,,
182,2.51500000e+01,-5.09933415e+00,8.743465e-01,2.213258e-01,5.195214e-01,5.928328e-01,,
183,2.51500000e+01,-5.09934220e+00,8.743465e-01,2.213195e-01,5.195185e-01,5.928194e-01,,
184,2.51500000e+01,-5.09934614e+00,8.743465e-01,2.212982e-01,5.194911e-01,5.927937e-01,,
185,2.51500000e+01,-5.09934324e+00,8.743465e-01,2.213021e-01,5.194883e-01,5.928072e-01,,
186,2.51500000e+01,-5.09933430e+00,8.743465e-01,2.213209e-01,5.195071e-01,5.928362e-01,,
187,2.51500000e+01,-5.09933632e+00,8.743465e-01,2.213271e-01,5.195194e-01,5.928387e-01,,
188,2.51500000e+01,-5.09934098e+00,8.743465e-01,2.213043e-01,5.194999e-01,5.927999e-01,,
189,2.51500000e+01,-5.09934361e+00,8.743465e-01,2.212887e-01,5.194826e-01,5.927779e-01,,
190,2.51500000e+01,-5.09934000e+00,8.743465e-01,2.213025e-01,5.194911e-01,5.928050e-01,,
191,2.51500000e+01,-5.09933410e+00,8.743465e-01,2.213280e-01,5.195141e-01,5.928472e-01,,
