time,n,URef,J,KT,10KQ,eta0,tours,angle_deg
0.00353125,2.515000e+01,-4.993208e+00,8.731588e-01,2.849277e-01,6.332895e-01,6.252387e-01,0.088799,31.9675
0.0035625,2.515000e+01,-4.993410e+00,8.731941e-01,2.844197e-01,6.330225e-01,6.244125e-01,0.089584,32.2504
0.00359375,2.515000e+01,-4.993645e+00,8.732352e-01,2.852970e-01,6.331315e-01,6.262598e-01,0.090370,32.5333
0.003625,2.515000e+01,-4.993891e+00,8.732783e-01,2.850604e-01,6.322186e-01,6.266751e-01,0.091156,32.8162
0.00365625,2.515000e+01,-4.994126e+00,8.733193e-01,2.842658e-01,6.315536e-01,6.256155e-01,0.091942,33.0991
0.0036875,2.515000e+01,-4.994318e+00,8.733529e-01,2.831447e-01,6.316799e-01,6.230477e-01,0.092728,33.3820
0.00371875,2.515000e+01,-4.994530e+00,8.733899e-01,2.835249e-01,6.312893e-01,6.242970e-01,0.093513,33.6649
0.00375,2.515000e+01,-4.994788e+00,8.734350e-01,2.845520e-01,6.310213e-01,6.268566e-01,0.094299,33.9477
0.00378125,2.515000e+01,-4.995035e+00,8.734783e-01,2.839498e-01,6.305627e-01,6.260164e-01,0.095085,34.2306
0.0038125,2.515000e+01,-4.995240e+00,8.735141e-01,2.826987e-01,6.307859e-01,6.230627e-01,0.095871,34.5135
0.00384375,2.515000e+01,-4.995441e+00,8.735492e-01,2.823113e-01,6.303542e-01,6.226603e-01,0.096657,34.7964
0.003875,2.515000e+01,-4.995655e+00,8.735867e-01,2.820464e-01,6.291400e-01,6.233032e-01,0.097443,35.0793
0.00390625,2.515000e+01,-4.995891e+00,8.736279e-01,2.823099e-01,6.286172e-01,6.244340e-01,0.098228,35.3622
0.0039375,2.515000e+01,-4.996109e+00,8.736661e-01,2.821000e-01,6.291027e-01,6.235154e-01,0.099014,35.6451
0.00396875,2.515000e+01,-4.996337e+00,8.737059e-01,2.820169e-01,6.285472e-01,6.239108e-01,0.099800,35.9280
0.004,2.515000e+01,-4.996574e+00,8.737473e-01,2.818640e-01,6.279438e-01,6.242015e-01,0.100586,36.2109
0.00403125,2.515000e+01,-4.996758e+00,8.737795e-01,2.802159e-01,6.278227e-01,6.206945e-01,0.101372,36.4938
0.0040625,2.515000e+01,-4.996933e+00,8.738100e-01,2.796155e-01,6.273094e-01,6.198931e-01,0.102158,36.7767
0.00409375,2.515000e+01,-4.997124e+00,8.738436e-01,2.797556e-01,6.267734e-01,6.207578e-01,0.102943,37.0596
0.004125,2.515000e+01,-4.997341e+00,8.738816e-01,2.803034e-01,6.265654e-01,6.222065e-01,0.103729,37.3425
0.00415625,2.515000e+01,-4.997570e+00,8.739216e-01,2.802113e-01,6.259346e-01,6.226575e-01,0.104515,37.6254
0.0041875,2.515000e+01,-4.997756e+00,8.739541e-01,2.791613e-01,6.263322e-01,6.199538e-01,0.105301,37.9083
0.00421875,2.515000e+01,-4.997934e+00,8.739853e-01,2.785322e-01,6.256082e-01,6.192945e-01,0.106087,38.1912
0.00425,2.515000e+01,-4.998138e+00,8.740210e-01,2.786924e-01,6.245736e-01,6.207024e-01,0.106873,38.4741
0.00428125,2.515000e+01,-4.998359e+00,8.740596e-01,2.788730e-01,6.241919e-01,6.215121e-01,0.107658,38.7570
0.0043125,2.515000e+01,-4.998579e+00,8.740980e-01,2.784315e-01,6.234827e-01,6.212612e-01,0.108444,39.0399
