time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
91,2.51500000e+01,-5.10929502e+00,8.743465e-01,2.140156e-01,5.414920e-01,5.499930e-01,,
92,2.51500000e+01,-5.10928012e+00,8.743465e-01,2.140233e-01,5.414968e-01,5.500080e-01,,
93,2.51500000e+01,-5.10926733e+00,8.743465e-01,2.140061e-01,5.414809e-01,5.499797e-01,,
94,2.51500000e+01,-5.10925321e+00,8.743465e-01,2.139925e-01,5.414626e-01,5.499633e-01,,
95,2.51500000e+01,-5.10924465e+00,8.743465e-01,2.140073e-01,5.414691e-01,5.499949e-01,,
96,2.51500000e+01,-5.10923759e+00,8.743465e-01,2.140332e-01,5.414858e-01,5.500444e-01,,
97,2.51500000e+01,-5.10923454e+00,8.743465e-01,2.140309e-01,5.414844e-01,5.500399e-01,,
98,2.51500000e+01,-5.10923527e+00,8.743465e-01,2.140061e-01,5.414677e-01,5.499931e-01,,
99,2.51500000e+01,-5.10923512e+00,8.743465e-01,2.139923e-01,5.414554e-01,5.499701e-01,,
100,2.51500000e+01,-5.10923981e+00,8.743465e-01,2.140079e-01,5.414700e-01,5.499955e-01,,
101,2.51500000e+01,-5.10924521e+00,8.743465e-01,2.140240e-01,5.414835e-01,5.500231e-01,,
102,2.51500000e+01,-5.10925347e+00,8.743465e-01,2.140140e-01,5.414771e-01,5.500039e-01,,
103,2.51500000e+01,-5.10925961e+00,8.743465e-01,2.139892e-01,5.414586e-01,5.499589e-01,,
104,2.51500000e+01,-5.10926859e+00,8.743465e-01,2.139839e-01,5.414558e-01,5.499483e-01,,
105,2.51500000e+01,-5.10927737e+00,8.743465e-01,2.140002e-01,5.414737e-01,5.499720e-01,,
106,2.51500000e+01,-5.10928818e+00,8.743465e-01,2.140060e-01,5.414827e-01,5.499777e-01,,
107,2.51500000e+01,-5.10930230e+00,8.743465e-01,2.139904e-01,5.414741e-01,5.499463e-01,,
108,2.51500000e+01,-5.10930780e+00,8.743465e-01,2.139720e-01,5.414565e-01,5.499170e-01,,
109,2.51500000e+01,-5.10931165e+00,8.743465e-01,2.139732e-01,5.414566e-01,5.499201e-01,,
110,2.51500000e+01,-5.10931426e+00,8.743465e-01,2.139908e-01,5.414725e-01,5.499491e-01,,
111,2.51500000e+01,-5.10931594e+00,8.743465e-01,2.139931e-01,5.414765e-01,5.499508e-01,,
112,2.51500000e+01,-5.10931916e+00,8.743465e-01,2.139772e-01,5.414645e-01,5.499220e-01,,
113,2.51500000e+01,-5.10931597e+00,8.743465e-01,2.139630e-01,5.414489e-01,5.499016e-01,,
114,2.51500000e+01,-5.10930884e+00,8.743465e-01,2.139739e-01,5.414518e-01,5.499264e-01,,
115,2.51500000e+01,-5.10930305e+00,8.743465e-01,2.139964e-01,5.414672e-01,5.499687e-01,,
116,2.51500000e+01,-5.10929611e+00,8.743465e-01,2.139958e-01,5.414667e-01,5.499678e-01,,
117,2.51500000e+01,-5.10928883e+00,8.743465e-01,2.139771e-01,5.414509e-01,5.499357e-01,,
118,2.51500000e+01,-5.10927726e+00,8.743465e-01,2.139666e-01,5.414378e-01,5.499220e-01,,
119,2.51500000e+01,-5.10926924e+00,8.743465e-01,2.139845e-01,5.414495e-01,5.499561e-01,,
120,2.51500000e+01,-5.10926273e+00,8.743465e-01,2.140066e-01,5.414642e-01,5.499979e-01,,
121,2.51500000e+01,-5.10925858e+00,8.743465e-01,2.140035e-01,5.414604e-01,5.499938e-01,,
122,2.51500000e+01,-5.10925002e+00,8.743465e-01,2.139801e-01,5.414408e-01,5.499537e-01,,
123,2.51500000e+01,-5.10924460e+00,8.743465e-01,2.139745e-01,5.414345e-01,5.499458e-01,,
124,2.51500000e+01,-5.10924236e+00,8.743465e-01,2.139941e-01,5.414522e-01,5.499781e-01,,
125,2.51500000e+01,-5.10924290e+00,8.743465e-01,2.140059e-01,5.414634e-01,5.499972e-01,,
126,2.51500000e+01,-5.10924598e+00,8.743465e-01,2.139934e-01,5.414548e-01,5.499737e-01,,
127,2.51500000e+01,-5.10924588e+00,8.743465e-01,2.139750e-01,5.414375e-01,5.499439e-01,,
128,2.51500000e+01,-5.10924873e+00,8.743465e-01,2.139775e-01,5.414393e-01,5.499485e-01,,
129,2.51500000e+01,-5.10925338e+00,8.743465e-01,2.139961e-01,5.414582e-01,5.499772e-01,,
130,2.51500000e+01,-5.10925864e+00,8.743465e-01,2.139970e-01,5.414635e-01,5.499739e-01,,
131,2.51500000e+01,-5.10926708e+00,8.743465e-01,2.139787e-01,5.414527e-01,5.499380e-01,,
132,2.51500000e+01,-5.10927303e+00,8.743465e-01,2.139632e-01,5.414395e-01,5.499115e-01,,
133,2.51500000e+01,-5.10927705e+00,8.743465e-01,2.139718e-01,5.414456e-01,5.499274e-01,,
134,2.51500000e+01,-5.10928253e+00,8.743465e-01,2.139903e-01,5.414624e-01,5.499579e-01,,
135,2.51500000e+01,-5.10928865e+00,8.743465e-01,2.139861e-01,5.414631e-01,5.499466e-01,,
136,2.51500000e+01,-5.10929439e+00,8.743465e-01,2.139657e-01,5.414493e-01,5.499081e-01,,
137,2.51500000e+01,-5.10929827e+00,8.743465e-01,2.139560e-01,5.414405e-01,5.498919e-01,,
138,2.51500000e+01,-5.10930055e+00,8.743465e-01,2.139695e-01,5.414520e-01,5.499151e-01,,
139,2.51500000e+01,-5.10930215e+00,8.743465e-01,2.139872e-01,5.414648e-01,5.499476e-01,,
140,2.51500000e+01,-5.10930266e+00,8.743465e-01,2.139805e-01,5.414589e-01,5.499362e-01,,
141,2.51500000e+01,-5.10930089e+00,8.743465e-01,2.139616e-01,5.414425e-01,5.499045e-01,,
142,2.51500000e+01,-5.10929631e+00,8.743465e-01,2.139573e-01,5.414366e-01,5.498993e-01,,
143,2.51500000e+01,-5.10929219e+00,8.743465e-01,2.139764e-01,5.414520e-01,5.499328e-01,,
144,2.51500000e+01,-5.10928933e+00,8.743465e-01,2.139896e-01,5.414621e-01,5.499564e-01,,
145,2.51500000e+01,-5.10928806e+00,8.743465e-01,2.139812e-01,5.414540e-01,5.499432e-01,,
146,2.51500000e+01,-5.10928095e+00,8.743465e-01,2.139645e-01,5.414354e-01,5.499192e-01,,
147,2.51500000e+01,-5.10927496e+00,8.743465e-01,2.139674e-01,5.414341e-01,5.499277e-01,,
148,2.51500000e+01,-5.10927092e+00,8.743465e-01,2.139888e-01,5.414520e-01,5.499648e-01,,
149,2.51500000e+01,-5.10926645e+00,8.743465e-01,2.139939e-01,5.414574e-01,5.499724e-01,,
150,2.51500000e+01,-5.10926494e+00,8.743465e-01,2.139779e-01,5.414455e-01,5.499434e-01,,
151,2.51500000e+01,-5.10926154e+00,8.743465e-01,2.139639e-01,5.414307e-01,5.499223e-01,,
152,2.51500000e+01,-5.10925901e+00,8.743465e-01,2.139751e-01,5.414361e-01,5.499456e-01,,
153,2.51500000e+01,-5.10925908e+00,8.743465e-01,2.139973e-01,5.414545e-01,5.499840e-01,,
154,2.51500000e+01,-5.10926020e+00,8.743465e-01,2.139947e-01,5.414555e-01,5.499763e-01,,
155,2.51500000e+01,-5.10926136e+00,8.743465e-01,2.139726e-01,5.414405e-01,5.499348e-01,,
156,2.51500000e+01,-5.10926397e+00,8.743465e-01,2.139627e-01,5.414318e-01,5.499182e-01,,
157,2.51500000e+01,-5.10926789e+00,8.743465e-01,2.139778e-01,5.414452e-01,5.499433e-01,,
158,2.51500000e+01,-5.10927144e+00,8.743465e-01,2.139950e-01,5.414593e-01,5.499733e-01,,
159,2.51500000e+01,-5.10927483e+00,8.743465e-01,2.139857e-01,5.414535e-01,5.499553e-01,,
160,2.51500000e+01,-5.10927860e+00,8.743465e-01,2.139654e-01,5.414383e-01,5.499183e-01,,
161,2.51500000e+01,-5.10928198e+00,8.743465e-01,2.139602e-01,5.414347e-01,5.499088e-01,,
162,2.51500000e+01,-5.10928581e+00,8.743465e-01,2.139774e-01,5.414514e-01,5.499358e-01,,
163,2.51500000e+01,-5.10929072e+00,8.743465e-01,2.139874e-01,5.414618e-01,5.499510e-01,,
164,2.51500000e+01,-5.10929687e+00,8.743465e-01,2.139766e-01,5.414540e-01,5.499312e-01,,
165,2.51500000e+01,-5.10929772e+00,8.743465e-01,2.139586e-01,5.414366e-01,5.499026e-01,,
166,2.51500000e+01,-5.10929766e+00,8.743465e-01,2.139602e-01,5.414362e-01,5.499071e-01,,
167,2.51500000e+01,-5.10929835e+00,8.743465e-01,2.139799e-01,5.414536e-01,5.499401e-01,,
168,2.51500000e+01,-5.10929789e+00,8.743465e-01,2.139844e-01,5.414592e-01,5.499459e-01,,
169,2.51500000e+01,-5.10929933e+00,8.743465e-01,2.139688e-01,5.414479e-01,5.499175e-01,,
170,2.51500000e+01,-5.10929672e+00,8.743465e-01,2.139549e-01,5.414328e-01,5.498972e-01,,
171,2.51500000e+01,-5.10929222e+00,8.743465e-01,2.139651e-01,5.414364e-01,5.499197e-01,,
172,2.51500000e+01,-5.10929022e+00,8.743465e-01,2.139879e-01,5.414541e-01,5.499602e-01,,
173,2.51500000e+01,-5.10928786e+00,8.743465e-01,2.139875e-01,5.414554e-01,5.499579e-01,,
